"","Place","Region","Confirmed","newConfirmed","Deaths","newDeaths","Est.Recovered","Est.Active","Last Update","Recovered","Active"
"","South Korea","South Korea","260,403","1,490","2,321","6","232,334","25,748","2021-09-05 12:00:00","232,334","25,748"
"","Armenia","Armenia","245,025","421","4,911","7","231,481","8,633","2021-09-05 12:00:00","229,113","11,001"
"","Kenya","Kenya","239,692","0","4,778","0","227,274","7,640","2021-09-05 12:00:00","227,274","7,640"
"","Qatar","Qatar","233,437","0","602","0","230,449","2,386","2021-09-05 12:00:00","230,449","2,386"
"","Mongolia","Mongolia","231,141","0","951","0","183,714","46,476","2021-09-05 12:00:00","",""
"","Bosnia and Herzegovina","Bosnia and Herzegovina","216,124","0","9,862","0","198,612","7,650","2021-09-05 12:00:00","192,218","14,044"
"","Zambia","Zambia","207,028","0","3,614","0","201,981","1,433","2021-09-05 12:00:00","201,981","1,433"
"","Algeria","Algeria","197,659","351","5,399","26","182,325","9,935","2021-09-05 12:00:00","",""
"","Nigeria","Nigeria","195,052","0","2,522","0","182,463","10,067","2021-09-05 12:00:00","182,463","10,067"
"","North Macedonia","North Macedonia","178,879","0","6,013","0","160,641","12,225","2021-09-05 12:00:00","157,868","14,998"
"","Kyrgyzstan","Kyrgyzstan","176,193","0","2,541","0","169,853","3,799","2021-09-05 12:00:00","168,012","5,640"
"","Norway","Norway","166,200","0","822","0","146,053","19,325","2021-09-05 12:00:00","88,952","76,426"
"","Uzbekistan","Uzbekistan","158,561","0","1,099","0","148,590","8,872","2021-09-05 12:00:00","148,590","8,872"
"","Botswana","Botswana","156,927","0","2,261","0","148,519","6,147","2021-09-05 12:00:00","148,519","6,147"
"","Afghanistan","Afghanistan","153,423","0","7,132","0","144,783","1,508","2021-09-05 12:00:00","111,513","34,778"
"","Albania","Albania","150,101","0","2,512","0","135,961","11,628","2021-09-05 12:00:00","135,961","11,628"
"","Kosovo","Kosovo","150,001","0","2,584","0","120,892","26,525","2021-09-05 12:00:00","120,892","26,525"
"","Mozambique","Mozambique","147,785","0","1,877","0","137,624","8,284","2021-09-05 12:00:00","136,629","9,279"
"","Latvia","Latvia","144,518","358","2,585","1","138,476","3,457","2021-09-05 12:00:00","138,476","3,457"
"","Estonia","Estonia","143,788","255","1,301","4","136,666","5,821","2021-09-05 12:00:00","135,388","7,099"
"","Finland","Finland","129,192","0","1,030","0","118,277","9,885","2021-09-05 12:00:00","31,000","97,162"
"","Namibia","Namibia","125,494","0","3,407","0","119,796","2,291","2021-09-05 12:00:00","119,796","2,291"
"","Zimbabwe","Zimbabwe","125,425","94","4,466","9","115,928","5,031","2021-09-05 12:00:00","115,089","5,870"
"","Uganda","Uganda","120,466","0","3,041","0","111,109","6,316","2021-09-05 12:00:00","95,607","21,818"
"","Ghana","Ghana","120,452","0","1,052","0","112,460","6,940","2021-09-05 12:00:00","112,460","6,940"
"","Montenegro","Montenegro","117,632","0","1,753","0","107,636","8,243","2021-09-05 12:00:00","107,636","8,243"
"","Cyprus","Cyprus","114,899","0","513","0","109,335","5,051","2021-09-05 12:00:00","",""
"","El Salvador","El Salvador","96,067","0","2,961","9","88,721","4,385","2021-09-05 12:00:00","81,339","11,767"
